Date,ConfirmedGrowth,DailyDeaths,DailyHospitalized,DailyTests,Confirmed,Tests,Hospitalized,Deaths,DeathsConfirmed,DeathsProbable,PositivePct,CurrentlyHospitalized,CurrentlyInICU,CurrentlyOnVentilator,Geography,ID Geography,ConfirmedPC,DailyDeathsPC,DeathsPC,DailyTestsPC,TestsPC,DailyHospitalizedPC,HospitalizedPC,ConfirmedGrowthPC,ConfirmedSmooth,ConfirmedPCSmooth,DailyDeathsSmooth,DailyDeathsPCSmooth,DeathsSmooth,DeathsPCSmooth,DailyTestsSmooth,DailyTestsPCSmooth,TestsSmooth,TestsPCSmooth,DailyHospitalizedSmooth,DailyHospitalizedPCSmooth,HospitalizedSmooth,HospitalizedPCSmooth,ConfirmedGrowthSmooth,ConfirmedGrowthPCSmooth,Timestamp
"3/11",418,6,3,4447,1915,23600,12,43,1,",0",8.114406779661017,,,,"United States","01000US",0.5853271969402799,0.001833923332449963,0.013143117215891401,1.3592428432341643,7.213431774303188,0.0009169616662249815,0.003667846664899926,0.1277633254940141,3535.133333333333,1.080527250553602,9.2,0.0028120157764232765,57.93333333333333,0.0177075486211002,8944.733333333334,2.7339925270904883,41973.13333333333,12.829251426005548,6,0.001833923332449963,24.933333333333334,0.007620970292625402,849.3333333333334,0.2596020361712503,1583899200000
"3/12",677,9,5,6683,2592,30283,17,52,1,1,8.55925766931942,,,,"United States","01000US",0.792254879618384,0.0027508849986749447,0.015894002214566345,2.0426849384605172,9.256116712763705,0.0015282694437083026,0.005196116108608229,0.20692768267810416,4688.333333333333,1.4330073150504852,12.466666666666667,0.0038104851463127013,70.4,0.021518033767412903,11540,3.5272458760787626,53528.73333333333,16.36126550274868,8.266666666666667,0.0025267388135977267,33.2,0.010147709106223129,1152.2666666666667,0.35219478753405736,1583985600000
"3/13",858,5,6,9733,3450,40016,23,57,1,1,8.62155137944822,,,,"United States","01000US",1.0545059161587287,0.0015282694437083026,0.01742227165827465,2.9749292991225817,12.231046011886287,0.001833923332449963,0.007030039441058192,0.2622510365403447,6243.866666666667,1.908462127451096,16.866666666666667,0.005155362256776006,87.26666666666667,0.026673396024188906,14745.2,4.506927720273533,68287,20.872187100501773,11.133333333333333,0.0034029466279904873,44.333333333333336,0.013550655734213617,1554.7333333333333,0.47521028928961767,1584072000000
"3/14",1026,8,4,9816,4476,49832,27,65,1,1,8.982180125220742,,,,"United States","01000US",1.3681068060076724,0.0024452311099332842,0.019867502768207933,3.0002985718881394,15.231344583774426,0.0012226155549666421,0.008252654996024834,0.3136008898489437,8252.866666666667,2.522520789933092,20.6,0.006296470108078207,107.86666666666666,0.032969866132267114,18088.4,5.528789801114652,86383.33333333333,26.403401755800438,32.266666666666666,0.00986243214339758,76.6,0.023413087877611195,2008.2666666666667,0.6138345162969188,1584158400000
"3/15",1262,15,10,10202,5738,60034,37,80,2,1,9.557917180264516,,,,"United States","01000US",1.753842013599648,0.004584808331124908,0.02445231109933284,3.1182809729424203,18.34962555671685,0.003056538887416605,0.011309193883441438,0.38573520759197555,10867.6,3.32172420128887,30.2,0.009230747439998148,138.06666666666666,0.042200613572265254,21519.733333333334,6.577590178016869,107905.8,32.98182738777987,41.53333333333333,0.012694824845736967,118.13333333333334,0.03610791272334816,2614.133333333333,0.7990200190225328,1584244800000
"3/16",1702,22,6,23073,7449,83148,43,102,3,1,8.958724202626641,,,,"United States","01000US",2.276815817236629,0.006724385552316531,0.03117669665164937,7.052352174936333,25.414509541091586,0.001833923332449963,0.013143117215891401,0.5202229186383062,14217,4.345481336240187,36.733333333333334,0.011227686179776994,174.8,0.05342829975204225,25245.933333333334,7.716517698246045,133154.46666666667,40.699180539988475,54.2,0.016566440769798,172.33333333333334,0.05267435349314617,3348.8,1.0235737426180727,1584331200000
"3/17",2128,24,33,26755,9577,109903,76,126,7,2,8.71404784218811,325,,,"United States","01000US",2.927247292478883,0.007335693329799852,0.03851238998144922,8.177769793283126,33.592279334374716,0.010086578328474797,0.0232296955443662,0.6504314752422535,18272.533333333333,5.585070870494949,52.13333333333333,0.01593475606639857,226.93333333333334,0.06936305581844082,30898.6,9.44427724667307,164055.8,50.1442932406241,71.4,0.02182368765615456,243.73333333333332,0.07449804114930073,4054.9333333333334,1.2394061419215172,1584417600000
"3/18",3357,26,18,32196,12934,142099,94,152,16,3,9.102104870547999,416,,,"United States","01000US",3.953327396984637,0.007947001107283172,0.0464593910887324,9.840832601926502,43.433111936301216,0.005501769997349889,0.028731465541716086,1.0260801045057544,23142.8,7.0736868163705005,68.06666666666666,0.02080484136034903,295,0.09016789717878985,36172.4,11.056234725118838,200230.93333333332,61.20136341970552,129.6,0.0396127439809192,373.3333333333333,0.11411078513021992,4869.666666666667,1.4884325535423062,1584504000000
"3/19",4606,51,34,39258,17540,181357,128,203,22,5,9.671531840513463,617,,,"United States","01000US",5.361169208528725,0.015588348325824685,0.06204773941455708,11.999360364220108,55.432472300521326,0.010392232217216458,0.03912369775893255,1.4078418115440883,29158,8.912256087929336,88.53333333333333,0.027060557616595014,383.53333333333336,0.11722845479538485,43005.6,13.144828877668354,243239.26666666666,74.34702775133643,173.13333333333333,0.05291887660413949,546.4666666666667,0.16702966173435943,6014.6,1.8383858792255912,1584590400000
"3/20",6100,70,44,49555,23640,230912,172,273,34,7,10.237666297117515,1042,,,"United States","01000US",7.225657929852854,0.021395772211916235,0.08344351162647332,15.146678456592987,70.5791507571143,0.013448771104633063,0.052572468863565605,1.864488721324129,36409.066666666666,11.128572812121032,115.33333333333333,0.03525208183487151,498.8666666666667,0.15248053663025637,49310.73333333333,15.072017400036355,292552.73333333334,89.41988060533534,224.53333333333333,0.06862948648546083,771,0.23565914821982023,7250.466666666666,2.2161333318584515,1584676800000
"3/21",6940,62,318,52248,30580,283160,490,335,52,9,10.799547958751237,1492,,,"United States","01000US",9.346895917719978,0.01895054110198295,0.10239405272845627,15.969804378974278,86.5489551360886,0.09719793661984805,0.14977040548341364,2.121237987867124,44921.933333333334,13.730563613126957,151.66666666666666,0.04635750645915184,650.5333333333333,0.19883804308940822,56090.53333333333,17.144289634927066,348646,106.56500569422498,269.6,0.08240428840475168,1040.6,0.3180634366245719,8512.266666666666,2.6018074086726783,1584763200000
"3/22",9228,145,139,52323,39808,335483,629,480,78,12,11.86587695948826,2173,,,"United States","01000US",12.167470003028022,0.044319813867540775,0.14671386659599706,15.992728420629902,102.5416835567185,0.04248589053509081,0.19225629601850447,2.820574085308043,54678.6,16.712726720949757,184.86666666666667,0.05650521556537498,835.4,0.2553432586547832,61234.4,18.716532484762336,409883.13333333336,125.28237363294987,306.6,0.09371348228819312,1347.2,0.4117769189127651,9756.066666666668,2.981979715489556,1584849600000
"3/23",11190,102,190,57023,50998,392506,819,582,110,16,12.992922401186224,2812,,,"United States","01000US",15.587737018047202,0.03117669665164937,0.1778905632476464,17.429301697715708,119.9709852544342,0.0580742388609155,0.25033053487942,3.420267015019181,65760.4,20.099921985207093,222.8,0.06809968641164196,1058.2,0.3234429450664251,67260.4,20.55840281831958,477146.26666666666,145.841611905232,347.53333333333336,0.10622491480068508,1694.7333333333333,0.5180018337134501,11081.2,3.387011871924088,1584936000000
"3/24",10896,235,261,86845,61894,479351,1080,817,154,23,12.9120414894305,3938,,,"United States","01000US",18.918141789776335,0.07182866385429022,0.24971922710193664,26.544511967769505,146.5154972222037,0.07977566496157339,0.3301061998409933,3.3304047717291327,78394.8,23.96167547712473,281.8666666666667,0.08615364277331604,1340.0666666666666,0.4095965878397412,73360,22.422769278088214,550506.2666666667,168.26438118332018,445.53333333333336,0.1361789958973678,2140.266666666667,0.6541808296108179,12634.4,3.8617534919176353,1585022400000
"3/25",12657,241,873,82429,74551,561780,1953,1058,221,27,13.270497347716187,5140,,167,"United States","01000US",22.786803059579533,0.07366258718674018,0.3233818142886768,25.194744395086335,171.71024161729005,0.2668358448714696,0.5969420447124629,3.868661269803197,92634.26666666666,28.314023837398643,347.3333333333333,0.10616378402293676,1687.4,0.515760371862678,79777.73333333334,24.38437442832853,630284,192.64875561164874,528.5333333333333,0.16154826866292563,2668.8,0.8157290982737436,14239.466666666667,4.352348360273917,1585108800000
"3/26",17592,313,656,106945,92143,668725,2609,1371,292,37,13.778907622714867,7805,1299,258,"United States","01000US",28.163866270322824,0.09566966717613974,0.4190514814648166,32.68815513147688,204.3983967487669,0.20050895101452929,0.7974509957269923,5.377063210743292,108525.6,33.17127166802195,424,0.12959724882646403,2111.4,0.6453576206891419,86374.4,26.400671247727686,716658.4,219.04942685937644,615.3333333333334,0.18807902620570174,3284.133333333333,1.0038081244794455,15891.333333333334,4.857247830623307,1585195200000
"3/27",19215,411,776,101260,111358,769985,3385,1782,392,47,14.462359656356941,10887,1792,293,"United States","01000US",34.03700574249383,0.12562374827282247,0.544675229737639,30.95051277398054,235.34890952274748,0.23718741766352855,1.0346384133905209,5.873139472171006,126232.2,38.58336281441504,506.46666666666664,0.154803506184693,2617.866666666667,0.8001611268738349,93251,28.502530779048584,809909.4,247.55195763842502,692.3333333333334,0.2116143756388096,3976.4666666666667,1.2154225001182548,17706.6,5.412091146393085,1585281600000
"3/28",19785,550,682,111430,131143,881415,4067,2332,502,70,14.878689380144428,12393,2174,390,"United States","01000US",40.084367931247584,0.16810963880791327,0.7127848685455523,34.05901282248323,269.4079223452307,0.20845595212181248,1.2430943655123332,6.047362188753753,145740.26666666666,44.546079252913266,600.3333333333334,0.18349421787457684,3218.2,0.9836553447484119,105355,32.20216544837765,915264.4,279.7541230868027,804.8666666666667,0.24601062658520448,4781.333333333333,1.4614331267034593,19508.066666666666,5.962716438498229,1585368000000
"3/29",19683,506,559,86974,150826,968389,4626,2838,614,82,15.574939409679375,14055,2456,433,"United States","01000US",46.10055342334969,0.15466086770328022,0.8674457362488325,26.583941319417182,295.9918636646479,0.17086052380658823,1.4139548893189215,6.016185492102104,166508.53333333333,50.89398072200374,685.6,0.20955630612128245,3903.8,1.1932116508696944,110499.26666666666,33.774530559768415,1025763.6666666666,313.52865364657106,859.0666666666667,0.26257706735500247,5640.4,1.7240101940584622,20768.266666666666,6.34790146909047,1585454400000
"3/30",21139,584,624,100592,171965,1068981,5250,3422,780,98,16.086815387738415,15892,3087,449,"United States","01000US",52.56177097745965,0.17850187102512974,1.0459476072739622,30.746335976301115,326.738199640949,0.19072802657479615,1.6046829158937177,6.461217554109961,188545.6,57.629695845129625,763.4666666666667,0.23335655559129975,4667.266666666666,1.426568206460994,116193.33333333333,35.51494417918935,1141957,349.0435978257604,908.6666666666666,0.2777375002365889,6549.066666666667,2.0017476942950507,22037.066666666666,6.735715123125889,1585540800000
"3/31",25000,908,1476,114567,196965,1183548,6726,4330,983,131,16.64191059424713,18155,3487,506,"United States","01000US",60.203118196001164,0.27753373097742773,1.32348133825139,35.01784907146582,361.7560487124148,0.4511451397826909,2.0558280556764084,7.6413472185415126,211864.4,64.75717774591867,892.9333333333333,0.2729285457203867,5560.2,1.6994967521813809,123708.86666666667,37.81209616849025,1265665.8666666667,386.8556939942507,1003.5333333333333,0.30673386581521433,7552.6,2.3084815601102653,23318.8,7.127481900789033,1585627200000
