week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
"2018-03-31","2018-03-24","04000US36","New York",13234,160042,9098147,1.76,1522468800000,"March 31st, 2018","04000US36","New York"
"2018-03-31","2018-03-24","04000US42","Pennsylvania",15920,126915,5670963,2.24,1522468800000,"March 31st, 2018","04000US42","Pennsylvania"
"2018-03-31","2018-03-24","04000US48","Texas",11603,120161,11706892,1.03,1522468800000,"March 31st, 2018","04000US48","Texas"
"2018-03-24","2018-03-17","04000US13","Georgia",4385,26210,4211074,0.62,1521864000000,"March 24th, 2018","04000US13","Georgia"
"2018-03-24","2018-03-17","04000US26","Michigan",4790,76355,4222916,1.81,1521864000000,"March 24th, 2018","04000US26","Michigan"
"2018-03-24","2018-03-17","04000US36","New York",13790,164290,9098147,1.81,1521864000000,"March 24th, 2018","04000US36","New York"
"2018-03-24","2018-03-17","04000US42","Pennsylvania",13477,139172,5670963,2.45,1521864000000,"March 24th, 2018","04000US42","Pennsylvania"
"2018-03-24","2018-03-17","04000US48","Texas",14723,129028,11706892,1.1,1521864000000,"March 24th, 2018","04000US48","Texas"
"2018-03-17","2018-03-10","04000US13","Georgia",4516,26750,4211074,0.64,1521259200000,"March 17th, 2018","04000US13","Georgia"
"2018-03-17","2018-03-10","04000US26","Michigan",4737,77674,4222916,1.84,1521259200000,"March 17th, 2018","04000US26","Michigan"
"2018-03-17","2018-03-10","04000US36","New York",15016,166991,9098147,1.84,1521259200000,"March 17th, 2018","04000US36","New York"
"2018-03-17","2018-03-10","04000US42","Pennsylvania",13986,133142,5670963,2.35,1521259200000,"March 17th, 2018","04000US42","Pennsylvania"
"2018-03-17","2018-03-10","04000US48","Texas",11837,121792,11706892,1.04,1521259200000,"March 17th, 2018","04000US48","Texas"
"2018-03-10","2018-03-03","04000US13","Georgia",5382,27939,4211074,0.66,1520658000000,"March 10th, 2018","04000US13","Georgia"
"2018-03-10","2018-03-03","04000US26","Michigan",5493,81729,4222916,1.94,1520658000000,"March 10th, 2018","04000US26","Michigan"
"2018-03-10","2018-03-03","04000US36","New York",13798,168316,9098147,1.85,1520658000000,"March 10th, 2018","04000US36","New York"
"2018-03-10","2018-03-03","04000US42","Pennsylvania",13547,146414,5670963,2.58,1520658000000,"March 10th, 2018","04000US42","Pennsylvania"
"2018-03-10","2018-03-03","04000US48","Texas",12848,123876,11706892,1.06,1520658000000,"March 10th, 2018","04000US48","Texas"
"2018-03-03","2018-02-24","04000US13","Georgia",4941,28075,4211074,0.67,1520053200000,"March 3rd, 2018","04000US13","Georgia"
"2018-03-03","2018-02-24","04000US26","Michigan",5826,82494,4222916,1.95,1520053200000,"March 3rd, 2018","04000US26","Michigan"
"2018-03-03","2018-02-24","04000US36","New York",31952,190765,9098147,2.1,1520053200000,"March 3rd, 2018","04000US36","New York"
"2018-03-03","2018-02-24","04000US42","Pennsylvania",13819,139443,5670963,2.46,1520053200000,"March 3rd, 2018","04000US42","Pennsylvania"
"2018-03-03","2018-02-24","04000US48","Texas",12570,129999,11706892,1.11,1520053200000,"March 3rd, 2018","04000US48","Texas"
"2018-02-24","2018-02-17","04000US13","Georgia",4887,28908,4211074,0.69,1519448400000,"February 24th, 2018","04000US13","Georgia"
"2018-02-24","2018-02-17","04000US26","Michigan",6463,88476,4222916,2.1,1519448400000,"February 24th, 2018","04000US26","Michigan"
"2018-02-24","2018-02-17","04000US36","New York",13703,171976,9098147,1.89,1519448400000,"February 24th, 2018","04000US36","New York"
"2018-02-24","2018-02-17","04000US42","Pennsylvania",13222,153068,5670963,2.7,1519448400000,"February 24th, 2018","04000US42","Pennsylvania"
"2018-02-24","2018-02-17","04000US48","Texas",11697,129920,11706892,1.11,1519448400000,"February 24th, 2018","04000US48","Texas"
"2018-02-17","2018-02-10","04000US13","Georgia",5739,29946,4211074,0.71,1518843600000,"February 17th, 2018","04000US13","Georgia"
"2018-02-17","2018-02-10","04000US26","Michigan",7597,86996,4222916,2.06,1518843600000,"February 17th, 2018","04000US26","Michigan"
"2018-02-17","2018-02-10","04000US36","New York",15087,175690,9098147,1.93,1518843600000,"February 17th, 2018","04000US36","New York"
"2018-02-17","2018-02-10","04000US42","Pennsylvania",15193,143668,5670963,2.53,1518843600000,"February 17th, 2018","04000US42","Pennsylvania"
"2018-02-17","2018-02-10","04000US48","Texas",13044,132190,11706892,1.13,1518843600000,"February 17th, 2018","04000US48","Texas"
